Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;2016;2016;2016;5;1;2;Export;52;Barbados;BRB;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;39594;;;;39594;;30373;;;2
S3;2016;2016;2016;5;1;1;Import;56;Belgium;BEL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3829087035;;;;2835910628;;201911289;;;6
S3;2016;2016;2016;5;1;2;Export;56;Belgium;BEL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;362777660;;;;269229409;;117455136;;;6
S3;2016;2016;2016;5;1;1;Import;60;Bermuda;BMU;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;9468316;;;;9468316;;3752980;;;6
S3;2016;2016;2016;5;1;2;Export;60;Bermuda;BMU;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;69264;;;;69264;;11154;;;4
S3;2016;2016;2016;5;1;1;Import;68;Bolivia (Plurinational State of);BOL;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;145633;;;;254765;;134669;;;0
S3;2016;2016;2016;5;1;1;Import;70;Bosnia Herzegovina;BIH;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;44568233;;;;44568233;;11999741;;;2
S3;2016;2016;2016;5;1;2;Export;70;Bosnia Herzegovina;BIH;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;22477214;;;;22477214;;1991001;;;2
S3;2016;2016;2016;5;1;1;Import;72;Botswana;BWA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3296700;;;;6089070;;2337319;;;0
S3;2016;2016;2016;5;1;2;Export;72;Botswana;BWA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;19196;;;;203629;;47218;;;0
S3;2016;2016;2016;5;1;1;Import;76;Brazil;BRA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;1637524;;;;1637496;;1080911;;;0
S3;2016;2016;2016;5;1;2;Export;76;Brazil;BRA;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;743406;;;;767982;;149619;;;0
